,Test #1,,,Test #2,,,Test #3,,,Final #1,,,Test #4,,,Test #5
Gender,Score,Predicted,Feelings,Score,Predicted,Feelings,Score,Predicted,Feelings,Score,Predicted,Feelings,Score,Predicted,Feelings,Score
F,69,80,8,89,80,8,77,90,7.5,90.5,85,8,81,85,8.75,84
M,94,,9.5,90,92,9.2,93,87,8,90,95,9.5,103,95,10,100
F,46,65,,57.5,65,,62,68,7,56,,,,,,
M,61,,7,94,90,7,79,,,92.5,,,93,88,7,51
M,96,,8,97,95,10,62,75,5,93,90,9,93,90,9.5,95
F,77,88,7,73,80,7,79,80,6,75.5,80,7,84,80,6.7,88
M,79,85,,95,85,8,86,90,9,81,90,9,84,80,8,78
M,85,,8.3,88,90,8,75,83,6.5,87.5,85,8,73,75,5,70
F,71,81,6,83,74,6,73,82,6.5,77.5,75,6.3,88,70,6,73
M,84,,9,99,93,9,90.5,,9,87.5,94,9,97,92,9,73
M,78,,,96,90,9,75,90,8,77.75,87,,95,85,8,68
M,45,,,50,,,75,,,54,,,58,53,3,64
F,80,84,7,86,80,7,77,72,7.5,89.5,,,84,70,7,73
F,76,80,4.5,87,87,8,77,70,6,88.5,85,8,93,75,6,91
F,76,,9,76.5,85,,68,80,7,82,7.2,7,64,75,,85
M,90,90,8,100,95,9,91,90,7,98,90,9,97,95,9,96
F,77,,,88,,,80,,,90.5,,,84,,,90
M,99,87,9,93,90,9,74,90,9,83.75,90,,91.5,86,8.5,87
M,92,85,8,97,,,90,90.1,8,93,90,8,89,10,3,89
M,65,87,7,81,80,6,84,82,6,80,88,8,78,75,4,85
F,,,,,,,83,76,7,84.5,84,6.5,80,83,6,79
M,90,,,100,,,94,92,7.5,92,100,9,80,,,86
M,68,,9,84,85,8.5,78,80,8,87,,,99,100,8,57
F,76,90,7.5,90,80,7,96,80,7,93.25,,8,90,80,7.5,80
F,70,70,5,84,70,8,75,75,8,86,80,7,73,80,7,78
M,60,,8.3,42,40,2,69,80,8,62.5,70,6.5,60,,,69
F,74,93,,70,,,76,,,66.5,,,65,,,76
F,73,80,6.5,93,77,6.5,77,78,6,87,80,6,73,75,4.5,82
F,97,90,8,92,88,7.5,71,65,2,91,85,7,77,65,7,88
F,71,90,6,95,80,6,71,80,6,84,80,6.5,91,75,5,85
M,89,90,7.75,97,88,8,84,80,5,90,89,9,102,92,8,71
F,47,80,7,77,,,71,70,8,83.5,70,5,52,70,8,65
M,62,85,,66,80,6.5,64,80,7.5,61.75,80,,69,,,56
F,93,,,96,87,6.5,85,85,6,90,85,6,85,85,6,82
F,85,85,7,94.5,80,,87,75,6,90,,,90,80,6,89